sim,gam_blood_meal_rates,gam_foraging_time ,gam_Q0,gam_phiB,gam_phiI,gam_mum,fun_blood_meal_rates,fun_foraging_time ,fun_Q0,fun_phiB,fun_phiI,fun_mum,gam_dn0,gam_rn,gam_gamman,fun_dn0,fun_rn,fun_gamman,gam_rho_1,fun_rho_1,gam_rho_2,fun_rho_2,gam_rho_3,fun_rho_3,gam_rho_4,fun_rho_4,gam_rho_5,fun_rho_5,gam_rho_6,fun_rho_6
1,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
2,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
3,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
4,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
5,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
6,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
7,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
8,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
9,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
10,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
11,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
12,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
13,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
14,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
15,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
16,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
17,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
18,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
19,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
20,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
21,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
22,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
23,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
24,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
25,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
26,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
27,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.67,1,1,0.22,0.45,0.88,0.11,1,1,1,1
28,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
29,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
30,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
31,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
32,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
33,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
34,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
35,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
36,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
37,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
38,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
39,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
40,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
41,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
42,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
43,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
44,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
45,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
46,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
47,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
48,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
49,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
50,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
51,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
52,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
53,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
54,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0.05,0.72,1,1,0.27,0.5,0.93,0.16,1,1,1,1
55,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
56,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
57,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
58,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
59,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
60,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
61,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
62,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
63,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
64,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
65,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
66,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
67,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
68,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
69,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
70,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
71,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
72,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
73,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
74,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
75,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
76,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
77,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
78,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
79,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
80,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
81,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2,0,0.62,0.9,0.9,0.22,0.4,0.83,0.07,0.9,0.9,0.9,0.9
